date,symbol,market_cap
2022-01-03,AAPL,3135058585449.9126
2022-01-04,AAPL,3121004503118.075
2022-01-05,AAPL,3087728993939.951
2022-01-06,AAPL,3090699754489.2783
2022-01-07,AAPL,3063243474029.607
2022-01-10,AAPL,3082932637346.4023
2022-01-11,AAPL,3056033283542.2944
2022-01-12,AAPL,3104389504228.9756
2022-01-13,AAPL,3081654032284.9775
2022-01-14,AAPL,2990783599303.783
2022-01-17,AAPL,3020667854311.3945
2022-01-18,AAPL,2944564676694.2275
2022-01-19,AAPL,2865628685125.1494
2022-01-20,AAPL,2813807521774.772
2022-01-21,AAPL,2785945806680.939
2022-01-24,AAPL,2790412663374.0024
2022-01-25,AAPL,2706007290001.857
2022-01-26,AAPL,2716710085023.153
2022-01-27,AAPL,2740198660891.534
2022-01-28,AAPL,2779989467453.61
2022-01-31,AAPL,2785056386898.761
2022-02-01,AAPL,2770385231391.6284
2022-02-02,AAPL,2775657211963.1787
2022-02-03,AAPL,2744935330982.713
2022-02-04,AAPL,2697217073567.659
2022-02-07,AAPL,2703139002658.282
2022-02-08,AAPL,2732629492521.1016
2022-02-09,AAPL,2731074799206.4316
2022-02-10,AAPL,2707694757967.475
2022-02-11,AAPL,2730696284342.1445
2022-02-14,AAPL,2718092382012.5234
2022-02-15,AAPL,2800436638799.1
2022-02-16,AAPL,2800770862013.288
2022-02-17,AAPL,2840715438339.6064
2022-02-18,AAPL,2868238750240.3223
2022-02-21,AAPL,2826270327678.869
2022-02-22,AAPL,2873893773900.459
2022-02-23,AAPL,2846826843639.885
2022-02-24,AAPL,2837764391416.5454
2022-02-25,AAPL,2861355353217.1074
2022-02-28,AAPL,2933058190144.5825
2022-03-01,AAPL,2958190011752.1895
2022-03-02,AAPL,2978985880511.4165
2022-03-03,AAPL,2968177248754.2534
2022-03-04,AAPL,2951200612410.321
2022-03-07,AAPL,2936747450609.9263
2022-03-08,AAPL,2927565352217.025
2022-03-09,AAPL,2954418030964.6445
2022-03-10,AAPL,3042497711330.9585
2022-03-11,AAPL,3025357767307.7573
2022-03-14,AAPL,3039233637926.681
2022-03-15,AAPL,3118192163422.7026
2022-03-16,AAPL,3206453608249.55
2022-03-17,AAPL,3195792981997.454
2022-03-18,AAPL,3251445702659.375
2022-03-21,AAPL,3274604684247.2095
2022-03-22,AAPL,3264774979345.0034
2022-03-23,AAPL,3225916264981.27
2022-03-24,AAPL,3261147912384.0767
2022-03-25,AAPL,3292443211231.036
2022-03-28,AAPL,3395382857726.2935
2022-03-29,AAPL,3410628451783.1865
2022-03-30,AAPL,3422968065486.9224
2022-03-31,AAPL,3415628072866.337
2022-04-01,AAPL,3400510381025.493
2022-04-04,AAPL,3387200801831.2607
2022-04-05,AAPL,3328886298459.7964
2022-04-06,AAPL,3330000919279.6143
2022-04-07,AAPL,3399460873884.2153
2022-04-08,AAPL,3368111696409.1587
2022-04-11,AAPL,3400863511763.1646
2022-04-12,AAPL,3437805932013.987
2022-04-13,AAPL,3519492374516.4893
2022-04-14,AAPL,3500079432579.195
2022-04-15,AAPL,3499587375568.034
2022-04-18,AAPL,3549182377858.5073
2022-04-19,AAPL,3555902581652.574
2022-04-20,AAPL,3529861821493.7666
2022-04-21,AAPL,3472007786933.681
2022-04-22,AAPL,3554727627793.0796
2022-04-25,AAPL,3601375504469.8403
2022-04-26,AAPL,3602034283209.556
2022-04-27,AAPL,3623912202972.7754
2022-04-28,AAPL,3677804573653.1616
2022-04-29,AAPL,3735664456547.1616
2022-05-02,AAPL,3810283909996.451
2022-05-03,AAPL,3795598187788.998
2022-05-04,AAPL,3798004443675.5386
2022-05-05,AAPL,3937911131000.0977
2022-05-06,AAPL,4051583899041.659
2022-05-09,AAPL,4036768229051.9146
2022-05-10,AAPL,4070758633241.7764
2022-05-11,AAPL,4032460609530.279
2022-05-12,AAPL,4002873204112.7964
2022-05-13,AAPL,4007486838405.0034
2022-05-16,AAPL,3990390110221.705
2022-05-17,AAPL,3912881087254.558
2022-05-18,AAPL,4010911646035.8896
2022-05-19,AAPL,4038464194152.113
2022-05-20,AAPL,4036181073626.6055
2022-05-23,AAPL,3939734218239.519
2022-05-24,AAPL,3893550602441.509
2022-05-25,AAPL,3830204032396.5864
2022-05-26,AAPL,3809718635137.8174
2022-05-27,AAPL,3778439886643.1147
2022-05-30,AAPL,3747869664605.531
2022-05-31,AAPL,3860595537271.575
2022-06-01,AAPL,3816843953253.782
2022-06-02,AAPL,3843433301573.1313
2022-06-03,AAPL,3808436804027.0576
2022-06-06,AAPL,3782965590658.0854
2022-06-07,AAPL,3840612610435.7617
2022-06-08,AAPL,3820556699406.65
2022-06-09,AAPL,3817337516154.619
2022-06-10,AAPL,3753888310898.7437
2022-06-13,AAPL,3706891356142.8467
2022-06-14,AAPL,3685069552656.1655
2022-06-15,AAPL,3718959759568.133
2022-06-16,AAPL,3611507223860.448
2022-06-17,AAPL,3718100045525.393
2022-06-20,AAPL,3683286116615.7363
2022-06-21,AAPL,3751765969191.2856
2022-06-22,AAPL,3809500239190.256
2022-06-23,AAPL,3767498266462.7476
2022-06-24,AAPL,3887445859963.882
2022-06-27,AAPL,3954187910271.7905
2022-06-28,AAPL,3916844073763.326
2022-06-29,AAPL,3934382597034.262
2022-06-30,AAPL,3957366043508.662
2022-07-01,AAPL,3913470957446.4272
2022-07-04,AAPL,3889996706320.1294
2022-07-05,AAPL,3825687639391.675
2022-07-06,AAPL,3832311051879.223
2022-07-07,AAPL,3808816207821.104
2022-07-08,AAPL,3920163308356.4937
2022-07-11,AAPL,3949815885285.66
2022-07-12,AAPL,3989258798961.414
2022-07-13,AAPL,3914435639790.107
2022-07-14,AAPL,3921810753460.498
2022-07-15,AAPL,3933797711793.5586
2022-07-18,AAPL,3905778814136.285
2022-07-19,AAPL,3991083594095.216
2022-07-20,AAPL,4052152629641.993
2022-07-21,AAPL,3996617840040.5566
2022-07-22,AAPL,3937508646878.845
2022-07-25,AAPL,3928640102010.5005
2022-07-26,AAPL,3986264620022.4517
2022-07-27,AAPL,3958825622984.9062
2022-07-28,AAPL,3970507331252.6455
2022-07-29,AAPL,3963659348934.224
2022-08-01,AAPL,3968703542035.344
2022-08-02,AAPL,3943701830808.772
2022-08-03,AAPL,3938842942595.99
2022-08-04,AAPL,3871436044238.113
2022-08-05,AAPL,3789376189996.2285
2022-08-08,AAPL,3726834759879.6934
2022-08-09,AAPL,3739603230506.4756
2022-08-10,AAPL,3728822359937.561
2022-08-11,AAPL,3709539290946.507
2022-08-12,AAPL,3815651928143.133
2022-08-15,AAPL,3848564068890.8066
2022-08-16,AAPL,3862472468222.4478
2022-08-17,AAPL,3844153468907.86
2022-08-18,AAPL,3874183969850.962
2022-08-19,AAPL,3890034310085.674
2022-08-22,AAPL,3776245926124.7915
2022-08-23,AAPL,3837853036881.089
2022-08-24,AAPL,3860493806503.334
2022-08-25,AAPL,3858175698067.508
2022-08-26,AAPL,3824953863925.624
2022-08-29,AAPL,3895193365713.416
2022-08-30,AAPL,3955552160168.4243
2022-08-31,AAPL,3874479193773.894
2022-09-01,AAPL,3846843159088.651
2022-09-02,AAPL,3936114345818.7793
2022-09-05,AAPL,3890622762925.797
2022-09-06,AAPL,3878239146013.6963
2022-09-07,AAPL,3740598646533.2593
2022-09-08,AAPL,3774219733670.0283
2022-09-09,AAPL,3762468685008.8076
2022-09-12,AAPL,3738157796021.7744
2022-09-13,AAPL,3697372143309.193
2022-09-14,AAPL,3791667019166.7524
2022-09-15,AAPL,3675033768043.083
2022-09-16,AAPL,3627788315293.4624
2022-09-19,AAPL,3525938962788.397
2022-09-20,AAPL,3531097770538.3447
2022-09-21,AAPL,3488687397097.079
2022-09-22,AAPL,3519958731305.709
2022-09-23,AAPL,3503217157046.3184
2022-09-26,AAPL,3560997596480.5854
2022-09-27,AAPL,3598780495932.877
2022-09-28,AAPL,3665527646327.9355
2022-09-29,AAPL,3720915036762.3975
2022-09-30,AAPL,3717199471776.926
2022-10-03,AAPL,3675564315294.895
2022-10-04,AAPL,3689536346360.55
2022-10-05,AAPL,3622048168999.525
2022-10-06,AAPL,3695513226965.074
2022-10-07,AAPL,3848535133088.8887
2022-10-10,AAPL,3862882122855.8403
2022-10-11,AAPL,3870364598645.875
2022-10-12,AAPL,3801047119123.3027
2022-10-13,AAPL,3822069751616.1045
2022-10-14,AAPL,3863146545176.752
2022-10-17,AAPL,3869378264117.9556
2022-10-18,AAPL,3802470557511.0435
2022-10-19,AAPL,3659306863028.993
2022-10-20,AAPL,3701591534474.8066
2022-10-21,AAPL,3777516173691.069
2022-10-24,AAPL,3734219864595.2095
2022-10-25,AAPL,3719324692391.131
2022-10-26,AAPL,3775208733085.0586
2022-10-27,AAPL,3783553764415.153
2022-10-28,AAPL,3860568308224.025
2022-10-31,AAPL,3794891717868.46
2022-11-01,AAPL,3788174615107.918
2022-11-02,AAPL,3762810553391.2163
2022-11-03,AAPL,3853553650835.8804
2022-11-04,AAPL,3860382001419.824
2022-11-07,AAPL,3831545905397.03
2022-11-08,AAPL,3913045074214.793
2022-11-09,AAPL,4023267971970.4717
2022-11-10,AAPL,4041382198723.6196
2022-11-11,AAPL,4044966562474.534
2022-11-14,AAPL,4090135465327.318
2022-11-15,AAPL,4035479270814.559
2022-11-16,AAPL,4103350459617.735
2022-11-17,AAPL,4192976170289.7373
2022-11-18,AAPL,4246187328933.647
2022-11-21,AAPL,4199238863138.9434
2022-11-22,AAPL,4127818344101.4844
