date,symbol,sector,sector_Technology,sector_Healthcare,sector_Financials
2022-01-03,AAPL,Technology,1.0,0.0,0.0
2022-01-04,AAPL,Technology,1.0,0.0,0.0
2022-01-05,AAPL,Technology,1.0,0.0,0.0
2022-01-06,AAPL,Technology,1.0,0.0,0.0
2022-01-07,AAPL,Technology,1.0,0.0,0.0
2022-01-10,AAPL,Technology,1.0,0.0,0.0
2022-01-11,AAPL,Technology,1.0,0.0,0.0
2022-01-12,AAPL,Technology,1.0,0.0,0.0
2022-01-13,AAPL,Technology,1.0,0.0,0.0
2022-01-14,AAPL,Technology,1.0,0.0,0.0
2022-01-17,AAPL,Technology,1.0,0.0,0.0
2022-01-18,AAPL,Technology,1.0,0.0,0.0
2022-01-19,AAPL,Technology,1.0,0.0,0.0
2022-01-20,AAPL,Technology,1.0,0.0,0.0
2022-01-21,AAPL,Technology,1.0,0.0,0.0
2022-01-24,AAPL,Technology,1.0,0.0,0.0
2022-01-25,AAPL,Technology,1.0,0.0,0.0
2022-01-26,AAPL,Technology,1.0,0.0,0.0
2022-01-27,AAPL,Technology,1.0,0.0,0.0
2022-01-28,AAPL,Technology,1.0,0.0,0.0
2022-01-31,AAPL,Technology,1.0,0.0,0.0
2022-02-01,AAPL,Technology,1.0,0.0,0.0
2022-02-02,AAPL,Technology,1.0,0.0,0.0
2022-02-03,AAPL,Technology,1.0,0.0,0.0
2022-02-04,AAPL,Technology,1.0,0.0,0.0
2022-02-07,AAPL,Technology,1.0,0.0,0.0
2022-02-08,AAPL,Technology,1.0,0.0,0.0
2022-02-09,AAPL,Technology,1.0,0.0,0.0
2022-02-10,AAPL,Technology,1.0,0.0,0.0
2022-02-11,AAPL,Technology,1.0,0.0,0.0
2022-02-14,AAPL,Technology,1.0,0.0,0.0
2022-02-15,AAPL,Technology,1.0,0.0,0.0
2022-02-16,AAPL,Technology,1.0,0.0,0.0
2022-02-17,AAPL,Technology,1.0,0.0,0.0
2022-02-18,AAPL,Technology,1.0,0.0,0.0
2022-02-21,AAPL,Technology,1.0,0.0,0.0
2022-02-22,AAPL,Technology,1.0,0.0,0.0
2022-02-23,AAPL,Technology,1.0,0.0,0.0
2022-02-24,AAPL,Technology,1.0,0.0,0.0
2022-02-25,AAPL,Technology,1.0,0.0,0.0
2022-02-28,AAPL,Technology,1.0,0.0,0.0
2022-03-01,AAPL,Technology,1.0,0.0,0.0
2022-03-02,AAPL,Technology,1.0,0.0,0.0
2022-03-03,AAPL,Technology,1.0,0.0,0.0
2022-03-04,AAPL,Technology,1.0,0.0,0.0
2022-03-07,AAPL,Technology,1.0,0.0,0.0
2022-03-08,AAPL,Technology,1.0,0.0,0.0
2022-03-09,AAPL,Technology,1.0,0.0,0.0
2022-03-10,AAPL,Technology,1.0,0.0,0.0
2022-03-11,AAPL,Technology,1.0,0.0,0.0
2022-03-14,AAPL,Technology,1.0,0.0,0.0
2022-03-15,AAPL,Technology,1.0,0.0,0.0
2022-03-16,AAPL,Technology,1.0,0.0,0.0
2022-03-17,AAPL,Technology,1.0,0.0,0.0
2022-03-18,AAPL,Technology,1.0,0.0,0.0
2022-03-21,AAPL,Technology,1.0,0.0,0.0
2022-03-22,AAPL,Technology,1.0,0.0,0.0
2022-03-23,AAPL,Technology,1.0,0.0,0.0
2022-03-24,AAPL,Technology,1.0,0.0,0.0
2022-03-25,AAPL,Technology,1.0,0.0,0.0
2022-03-28,AAPL,Technology,1.0,0.0,0.0
2022-03-29,AAPL,Technology,1.0,0.0,0.0
2022-03-30,AAPL,Technology,1.0,0.0,0.0
2022-03-31,AAPL,Technology,1.0,0.0,0.0
2022-04-01,AAPL,Technology,1.0,0.0,0.0
2022-04-04,AAPL,Technology,1.0,0.0,0.0
2022-04-05,AAPL,Technology,1.0,0.0,0.0
2022-04-06,AAPL,Technology,1.0,0.0,0.0
2022-04-07,AAPL,Technology,1.0,0.0,0.0
2022-04-08,AAPL,Technology,1.0,0.0,0.0
2022-04-11,AAPL,Technology,1.0,0.0,0.0
2022-04-12,AAPL,Technology,1.0,0.0,0.0
2022-04-13,AAPL,Technology,1.0,0.0,0.0
2022-04-14,AAPL,Technology,1.0,0.0,0.0
2022-04-15,AAPL,Technology,1.0,0.0,0.0
2022-04-18,AAPL,Technology,1.0,0.0,0.0
2022-04-19,AAPL,Technology,1.0,0.0,0.0
2022-04-20,AAPL,Technology,1.0,0.0,0.0
2022-04-21,AAPL,Technology,1.0,0.0,0.0
2022-04-22,AAPL,Technology,1.0,0.0,0.0
2022-04-25,AAPL,Technology,1.0,0.0,0.0
2022-04-26,AAPL,Technology,1.0,0.0,0.0
2022-04-27,AAPL,Technology,1.0,0.0,0.0
2022-04-28,AAPL,Technology,1.0,0.0,0.0
2022-04-29,AAPL,Technology,1.0,0.0,0.0
2022-05-02,AAPL,Technology,1.0,0.0,0.0
2022-05-03,AAPL,Technology,1.0,0.0,0.0
2022-05-04,AAPL,Technology,1.0,0.0,0.0
2022-05-05,AAPL,Technology,1.0,0.0,0.0
2022-05-06,AAPL,Technology,1.0,0.0,0.0
2022-05-09,AAPL,Technology,1.0,0.0,0.0
2022-05-10,AAPL,Technology,1.0,0.0,0.0
2022-05-11,AAPL,Technology,1.0,0.0,0.0
2022-05-12,AAPL,Technology,1.0,0.0,0.0
2022-05-13,AAPL,Technology,1.0,0.0,0.0
2022-05-16,AAPL,Technology,1.0,0.0,0.0
2022-05-17,AAPL,Technology,1.0,0.0,0.0
2022-05-18,AAPL,Technology,1.0,0.0,0.0
2022-05-19,AAPL,Technology,1.0,0.0,0.0
2022-05-20,AAPL,Technology,1.0,0.0,0.0
2022-05-23,AAPL,Technology,1.0,0.0,0.0
2022-05-24,AAPL,Technology,1.0,0.0,0.0
2022-05-25,AAPL,Technology,1.0,0.0,0.0
2022-05-26,AAPL,Technology,1.0,0.0,0.0
2022-05-27,AAPL,Technology,1.0,0.0,0.0
2022-05-30,AAPL,Technology,1.0,0.0,0.0
2022-05-31,AAPL,Technology,1.0,0.0,0.0
2022-06-01,AAPL,Technology,1.0,0.0,0.0
2022-06-02,AAPL,Technology,1.0,0.0,0.0
2022-06-03,AAPL,Technology,1.0,0.0,0.0
2022-06-06,AAPL,Technology,1.0,0.0,0.0
2022-06-07,AAPL,Technology,1.0,0.0,0.0
2022-06-08,AAPL,Technology,1.0,0.0,0.0
2022-06-09,AAPL,Technology,1.0,0.0,0.0
2022-06-10,AAPL,Technology,1.0,0.0,0.0
